#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-01-28,MeteoSwiss,1.1,rene.stubi@meteosuisse.ch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,156,Payerne,CHE

#INSTRUMENT
Name,Model,Number
ECC,2Z,23619

#LOCATION
Latitude,Longitude,Height
46.49,6.57,491

#TIMESTAMP
UTCOffset,Date,Time
00:00:00,2013-08-14,11:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
275.88,3,314.43,-1.029,323.55,0,DS,Dobson,101
* TotalO3 = Dobson value for Arosa + integratedO3 Payerne to Arosa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesgroundO3
SRS-400,0.049,0.068,27.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
1000.0,1.000
200.0,1.0000
150.0,1.002
100.0,1.007
70.0,1.013
50.0,1.018
30.0,1.029
20.0,1.041
15.0,1.048
10.0,1.066
7.0,1.087
5.0,1.124
3.0,1.240
* [hPa], [mPa],  [oC],[m/s],[Deg],[],[s],[m],   [%],[C]
927.17,4.022,15.27,6.2,17,0,54,828,55.29,33.94
925.00,4.018,15.06,5.7,18,0,57,848,55.59,33.95
923.64,4.017,14.99,4.6,19,0,60,860,55.50,33.95
921.89,4.017,14.75,4.6,22,0,63,876,55.74,33.90
920.18,4.013,14.66,4.1,26,0,66,892,56.37,33.94
918.22,4.001,14.47,4.6,29,0,69,910,56.69,33.90
916.19,3.985,14.38,4.6,30,0,72,929,56.91,33.95
914.76,3.970,14.51,4.6,30,0,75,942,56.81,33.97
912.99,3.958,14.21,4.6,30,0,78,958,57.87,33.96
910.84,3.953,13.87,4.1,30,0,81,978,59.91,33.96
909.45,3.954,13.78,4.1,31,0,84,991,60.38,33.94
907.83,3.957,13.65,3.6,32,0,87,1006,60.32,33.99
905.90,3.960,13.47,3.6,32,0,90,1024,61.27,33.97
904.43,3.961,13.23,4.1,31,0,93,1038,61.81,33.96
902.92,3.959,13.01,4.1,30,0,96,1052,61.80,33.97
901.51,3.954,13.00,4.1,31,0,99,1065,62.15,33.95
900.00,3.948,12.78,4.1,32,0,102,1079,63.11,33.95
899.86,3.939,12.76,4.1,32,0,102,1080,63.20,33.95
897.84,3.929,12.62,4.1,34,0,105,1099,64.48,33.97
895.70,3.920,12.38,4.1,35,0,108,1119,65.56,33.97
893.92,3.913,12.20,4.6,34,0,111,1136,65.77,33.95
892.69,3.906,12.04,4.6,31,0,114,1148,65.77,33.97
890.88,3.903,11.87,4.6,27,0,117,1165,66.76,33.97
889.25,3.901,11.81,4.6,25,0,120,1180,67.20,33.99
887.90,3.901,11.66,4.6,25,0,123,1193,66.97,33.96
886.72,3.901,11.56,4.6,28,0,126,1204,66.76,33.99
885.54,3.902,11.44,5.1,31,0,129,1215,66.89,33.99
884.54,3.901,11.50,5.1,34,0,132,1224,66.44,33.97
883.51,3.898,11.35,5.1,35,0,135,1234,64.84,34.00
882.18,3.894,11.26,5.1,34,0,138,1247,63.78,33.97
880.73,3.889,11.14,5.1,31,0,141,1260,64.09,33.97
879.41,3.885,10.94,5.1,29,0,144,1273,65.59,33.97
877.72,3.884,10.77,5.1,27,0,147,1289,68.92,34.01
876.16,3.886,10.59,4.6,26,0,150,1304,70.93,33.97
875.05,3.888,10.49,4.6,27,0,153,1314,70.80,33.97
873.82,3.888,10.35,4.1,29,0,156,1326,70.25,33.97
872.65,3.884,10.26,4.1,32,0,159,1337,69.30,33.99
871.27,3.879,10.17,4.1,37,0,162,1350,69.55,34.02
870.18,3.872,10.09,4.1,42,0,165,1361,71.36,33.99
868.54,3.865,9.94,4.1,47,0,168,1376,72.84,33.97
867.21,3.859,9.83,4.1,51,0,171,1389,72.84,33.99
865.97,3.851,9.81,4.1,53,0,174,1401,71.37,33.97
864.92,3.842,9.67,4.6,52,0,177,1411,70.97,33.95
863.51,3.832,9.52,4.6,51,0,180,1425,72.54,34.02
861.87,3.823,9.41,5.1,50,0,183,1441,74.30,34.00
860.89,3.817,9.41,5.1,51,0,186,1450,73.73,33.99
859.55,3.812,9.30,5.7,54,0,189,1463,72.84,34.00
858.17,3.804,9.03,5.7,57,0,192,1476,73.33,33.97
856.38,3.791,8.81,5.7,59,0,195,1494,75.89,33.97
854.49,3.776,8.61,5.7,60,0,198,1512,78.92,33.97
852.68,3.762,8.51,6.2,60,0,201,1529,80.20,34.00
851.52,3.753,8.42,6.2,60,0,204,1541,79.52,33.97
850.46,3.749,8.42,6.2,60,0,207,1551,77.47,33.97
850.00,3.747,8.41,6.2,60,0,208,1556,76.37,33.98
849.48,3.744,8.41,6.2,61,0,210,1561,75.12,34.00
848.40,3.740,8.27,6.2,62,0,213,1571,74.51,33.97
847.57,3.735,8.24,6.2,64,0,216,1579,74.43,33.97
846.94,3.732,8.18,6.2,66,0,219,1585,73.56,34.04
845.79,3.730,8.01,5.7,66,0,222,1597,73.59,33.97
844.31,3.730,7.91,5.7,67,0,225,1611,75.37,33.99
842.92,3.732,7.78,5.1,66,0,228,1625,76.88,34.00
841.84,3.735,7.65,4.6,65,0,231,1635,77.09,33.97
840.62,3.736,7.64,4.6,64,0,234,1647,77.30,33.97
839.25,3.733,7.58,4.1,63,0,237,1661,77.78,33.97
837.92,3.726,7.51,4.1,61,0,240,1674,78.89,34.02
836.31,3.716,7.31,3.6,58,0,243,1690,79.14,34.02
834.65,3.706,7.27,3.6,55,0,246,1706,79.15,34.02
833.20,3.698,7.21,3.6,53,0,249,1720,79.93,34.01
831.67,3.694,7.02,3.6,51,0,252,1735,80.48,34.03
830.16,3.694,6.92,4.1,50,0,255,1750,80.44,33.97
828.87,3.697,6.77,4.1,50,0,258,1763,80.47,33.97
827.46,3.704,6.73,4.1,50,0,261,1777,81.20,34.02
826.09,3.710,6.57,4.1,52,0,264,1791,82.29,33.97
824.61,3.714,6.38,4.1,55,0,267,1806,84.00,33.99
823.26,3.712,6.29,3.6,59,0,270,1819,85.88,33.99
821.84,3.703,6.15,3.1,63,0,273,1833,86.51,33.97
820.21,3.685,6.34,3.1,66,0,276,1849,85.61,33.97
818.33,3.663,6.18,3.1,66,0,279,1868,84.39,33.97
816.23,3.640,6.02,2.6,63,0,282,1889,84.40,33.97
814.22,3.623,6.08,2.6,59,0,285,1910,83.03,33.99
812.56,3.611,5.95,2.6,54,0,288,1926,79.94,33.94
811.11,3.603,5.88,2.6,50,0,291,1941,76.90,33.95
809.55,3.597,5.88,2.6,45,0,294,1957,74.33,33.93
807.60,3.587,5.83,2.6,39,0,297,1976,72.31,33.96
806.11,3.575,5.85,2.6,32,0,300,1992,69.90,33.97
804.83,3.560,5.77,2.6,25,0,303,2005,66.72,33.94
803.37,3.542,5.65,2.1,20,0,306,2019,65.20,33.93
801.47,3.529,5.55,2.1,17,0,309,2039,65.41,33.96
800.00,3.520,5.42,1.5,16,0,312,2053,63.97,33.94
799.84,3.521,5.41,1.5,16,0,312,2055,63.81,33.94
798.58,3.528,5.49,1.0,17,0,315,2068,57.76,33.93
796.96,3.538,6.12,0.5,19,0,318,2085,46.87,33.93
795.45,3.548,6.07,0.0,0,0,321,2101,37.13,33.93
794.15,3.555,6.01,0.5,200,0,324,2114,32.65,33.92
792.91,3.559,5.86,1.0,199,0,327,2127,31.31,33.90
791.31,3.561,5.95,1.0,196,0,330,2143,29.97,33.92
789.68,3.563,6.10,1.5,195,0,333,2160,27.25,33.92
788.24,3.566,6.30,1.5,195,0,336,2175,24.17,33.92
786.72,3.569,6.34,1.5,199,0,339,2191,22.50,33.90
785.21,3.573,6.30,1.5,203,0,342,2207,22.92,33.94
783.71,3.576,6.24,2.1,206,0,345,2222,24.76,33.86
781.96,3.576,6.18,2.1,207,0,348,2240,27.47,33.89
780.28,3.571,6.19,2.1,204,0,351,2258,29.21,33.90
778.83,3.562,6.04,1.5,198,0,354,2273,31.50,33.90
777.00,3.546,5.73,1.5,189,0,357,2293,37.65,33.92
775.03,3.526,5.56,1.5,177,0,360,2313,45.06,33.90
773.29,3.502,5.42,1.5,166,0,363,2332,49.05,33.86
772.02,3.478,5.24,2.1,159,0,366,2345,50.33,33.88
770.47,3.452,5.12,2.6,154,0,369,2362,51.73,33.89
769.22,3.427,5.04,2.6,151,0,372,2375,52.65,33.90
767.76,3.400,4.84,3.1,149,0,375,2390,52.78,33.89
765.93,3.377,4.72,3.1,149,0,378,2410,52.62,33.93
764.49,3.356,4.58,2.6,151,0,381,2425,52.25,33.88
763.24,3.338,4.44,2.1,158,0,384,2438,52.72,33.86
761.50,3.325,4.21,1.5,174,0,387,2457,54.30,33.85
759.64,3.316,4.09,1.0,200,0,390,2477,55.46,33.86
758.00,3.311,3.93,1.0,226,0,393,2495,56.04,33.88
756.52,3.309,3.77,1.0,243,0,396,2510,56.44,33.84
754.91,3.311,3.59,1.0,254,0,399,2528,57.03,33.86
753.32,3.316,3.50,1.0,266,0,402,2545,57.97,33.86
751.98,3.325,3.30,0.5,280,0,405,2559,58.54,33.85
750.84,3.336,3.26,0.5,286,0,408,2572,58.74,33.85
749.66,3.348,3.25,1.0,276,0,411,2584,59.62,33.85
748.34,3.361,3.20,1.0,263,0,414,2599,60.17,33.81
746.71,3.374,3.24,1.5,257,0,417,2616,59.63,33.86
745.12,3.389,3.32,2.1,254,0,420,2634,58.50,33.79
743.97,3.405,3.26,2.6,253,0,423,2646,57.49,33.83
742.52,3.420,3.16,3.1,252,0,426,2662,56.86,33.83
741.31,3.429,3.16,3.1,250,0,429,2675,56.61,33.82
739.78,3.431,3.00,2.6,247,0,432,2692,57.09,33.79
738.20,3.425,2.91,2.6,244,0,435,2709,57.35,33.84
736.62,3.416,2.85,2.1,242,0,438,2727,56.68,33.84
735.35,3.407,2.82,2.1,243,0,441,2741,55.95,33.83
733.68,3.402,2.74,1.5,247,0,444,2759,56.92,33.79
731.77,3.402,2.60,1.5,255,0,447,2780,59.62,33.81
729.77,3.406,2.42,1.0,266,0,450,2802,61.35,33.84
728.27,3.413,2.27,1.0,274,0,453,2819,62.01,33.78
727.06,3.421,2.24,1.0,275,0,456,2832,62.50,33.79
725.68,3.426,2.24,1.5,267,0,459,2848,62.67,33.79
724.00,3.428,2.27,1.5,257,0,462,2866,62.20,33.81
722.81,3.429,2.19,2.1,249,0,465,2880,61.15,33.79
721.47,3.431,2.15,2.6,243,0,468,2895,60.32,33.79
719.76,3.433,1.95,2.6,238,0,471,2914,60.79,33.78
718.12,3.439,1.84,2.6,235,0,474,2932,60.97,33.77
716.94,3.447,1.78,3.1,233,0,477,2945,60.90,33.79
715.88,3.456,1.64,3.1,234,0,480,2957,60.62,33.79
714.69,3.466,1.61,3.1,237,0,483,2971,60.54,33.79
713.38,3.473,1.41,3.1,244,0,486,2986,61.66,33.76
712.06,3.480,1.34,2.6,251,0,489,3000,62.17,33.79
710.81,3.485,1.18,2.6,259,0,492,3015,61.71,33.71
709.51,3.486,1.10,2.6,264,0,495,3029,61.81,33.76
708.20,3.484,0.97,2.6,266,0,498,3044,63.20,33.74
706.81,3.481,0.93,2.6,265,0,501,3060,63.99,33.76
705.46,3.478,0.84,2.6,262,0,504,3075,63.19,33.75
704.09,3.476,0.70,2.6,257,0,507,3091,62.30,33.74
702.69,3.474,0.63,2.6,250,0,510,3107,62.03,33.71
701.28,3.472,0.55,2.6,243,0,513,3123,61.99,33.71
700.00,3.469,0.45,2.6,236,1,516,3138,61.93,33.72
699.91,3.466,0.45,2.6,236,0,516,3139,61.93,33.72
698.22,3.466,0.22,2.6,230,0,519,3158,62.40,33.72
696.97,3.467,0.19,2.6,226,0,522,3173,62.96,33.72
695.78,3.472,0.07,2.6,226,0,525,3186,62.60,33.72
694.56,3.479,-0.04,2.6,229,0,528,3200,62.86,33.72
693.05,3.486,-0.15,2.1,236,0,531,3218,62.86,33.72
691.61,3.493,-0.26,2.1,245,0,534,3234,62.69,33.68
690.29,3.498,-0.39,2.1,253,0,537,3250,62.29,33.74
688.87,3.501,-0.53,2.6,259,0,540,3266,61.60,33.72
687.53,3.502,-0.57,2.6,265,0,543,3282,60.59,33.70
686.24,3.500,-0.56,2.1,272,0,546,3297,59.31,33.69
684.82,3.499,-0.71,2.1,280,0,549,3313,57.80,33.65
683.64,3.496,-0.63,2.6,290,0,552,3327,56.15,33.65
682.46,3.493,-0.60,2.6,296,0,555,3341,54.45,33.67
681.07,3.489,-0.66,2.6,300,0,558,3357,52.81,33.68
679.60,3.484,-0.76,3.1,301,0,561,3374,51.31,33.69
678.14,3.478,-0.80,3.1,301,0,564,3392,50.02,33.68
676.43,3.473,-0.76,3.6,301,0,567,3412,48.96,33.65
674.57,3.470,-0.86,3.6,301,0,570,3434,48.11,33.67
673.12,3.471,-0.92,3.6,300,0,573,3451,47.39,33.65
671.95,3.474,-0.95,3.6,299,0,576,3465,46.72,33.67
670.54,3.477,-1.09,4.1,298,0,579,3482,46.05,33.67
668.92,3.479,-1.11,4.1,295,0,582,3501,45.32,33.64
667.05,3.481,-1.08,4.1,292,0,585,3523,44.55,33.65
665.23,3.488,-1.04,4.1,288,0,588,3545,43.77,33.63
663.84,3.499,-1.02,4.1,286,0,591,3562,43.04,33.63
662.75,3.510,-1.04,4.1,286,0,594,3575,42.40,33.65
661.25,3.519,-1.20,4.1,288,0,597,3593,41.87,33.60
659.91,3.522,-1.19,4.1,290,0,600,3609,41.44,33.64
658.69,3.518,-1.28,4.1,291,0,603,3624,41.10,33.65
657.53,3.511,-1.33,4.1,293,0,606,3638,40.85,33.61
656.43,3.503,-1.31,4.1,296,0,609,3651,40.69,33.61
655.19,3.496,-1.39,3.6,300,0,612,3666,40.64,33.58
653.97,3.488,-1.44,3.6,306,0,615,3681,40.69,33.59
652.74,3.482,-1.44,3.1,313,0,618,3696,40.84,33.61
651.58,3.479,-1.45,3.1,317,0,621,3710,41.03,33.64
650.37,3.479,-1.51,3.1,316,0,624,3725,41.23,33.60
650.00,3.481,-1.52,3.1,314,0,625,3730,41.27,33.59
649.09,3.482,-1.56,3.1,309,0,627,3741,41.38,33.58
647.69,3.482,-1.56,4.1,302,0,630,3758,41.45,33.57
646.13,3.484,-1.68,4.6,296,0,633,3777,41.44,33.58
644.97,3.489,-1.72,5.1,293,0,636,3791,41.37,33.58
643.88,3.498,-1.73,5.7,292,0,639,3805,41.26,33.53
642.66,3.509,-1.92,6.2,294,0,642,3820,41.11,33.56
641.29,3.520,-1.87,6.2,297,0,645,3837,40.92,33.58
640.16,3.528,-1.95,6.2,301,0,648,3851,40.67,33.56
639.02,3.530,-2.00,5.7,305,0,651,3865,40.38,33.54
637.64,3.527,-2.06,5.7,308,0,654,3882,40.04,33.50
636.03,3.521,-2.08,5.7,309,0,657,3902,39.69,33.54
634.52,3.519,-2.13,5.1,309,0,660,3921,39.35,33.54
633.23,3.522,-2.16,5.1,309,0,663,3937,39.03,33.54
632.09,3.531,-2.21,5.1,308,0,666,3952,38.76,33.52
630.96,3.540,-2.23,5.1,308,0,669,3966,38.52,33.47
629.75,3.548,-2.25,5.1,308,0,672,3981,38.31,33.51
628.19,3.553,-2.35,5.7,310,0,675,4001,38.15,33.46
626.54,3.555,-2.42,5.7,311,0,678,4022,38.06,33.52
625.34,3.556,-2.44,6.2,313,0,681,4037,38.06,33.47
624.04,3.555,-2.59,6.2,315,0,684,4053,38.19,33.47
622.48,3.552,-2.64,6.2,317,0,687,4073,38.46,33.50
620.70,3.549,-2.80,5.7,319,0,690,4096,38.85,33.49
619.38,3.544,-2.87,5.7,322,0,693,4113,39.32,33.50
618.16,3.538,-2.99,5.7,323,0,696,4128,39.83,33.47
616.89,3.530,-3.15,5.1,325,0,699,4145,40.33,33.49
615.33,3.516,-3.31,5.1,327,0,702,4165,40.76,33.45
614.15,3.498,-3.36,5.1,329,0,705,4180,41.09,33.46
613.01,3.479,-3.42,5.1,331,0,708,4195,41.30,33.47
611.63,3.463,-3.62,5.1,334,0,711,4212,41.38,33.43
610.25,3.449,-3.68,5.1,334,0,714,4230,41.36,33.42
609.22,3.437,-3.66,5.1,333,0,717,4244,41.25,33.44
607.80,3.429,-3.80,5.1,331,0,720,4262,41.08,33.43
606.32,3.421,-3.91,5.1,328,0,723,4281,40.86,33.44
605.07,3.414,-3.94,4.6,324,0,726,4298,40.61,33.47
603.88,3.409,-4.01,4.6,321,0,729,4313,40.39,33.40
602.54,3.405,-4.03,4.6,318,0,732,4330,40.20,33.42
601.49,3.401,-4.07,4.6,317,0,735,4344,40.07,33.40
600.00,3.397,-4.13,5.1,318,0,738,4364,40.00,33.40
598.69,3.392,-4.19,5.7,319,0,741,4381,39.97,33.36
597.64,3.388,-4.24,6.2,320,0,744,4395,39.97,33.38
596.42,3.386,-4.40,6.2,320,0,747,4411,39.95,33.34
594.96,3.388,-4.49,6.2,320,0,750,4430,39.85,33.40
593.69,3.393,-4.61,6.2,318,0,753,4447,39.65,33.36
592.44,3.400,-4.63,6.2,317,0,756,4464,39.39,33.35
591.10,3.409,-4.74,5.7,315,0,759,4482,39.04,33.35
590.03,3.417,-4.73,5.7,314,0,762,4496,38.65,33.33
588.73,3.423,-4.80,5.7,313,0,765,4513,38.29,33.35
587.51,3.427,-4.80,5.7,312,0,768,4529,37.97,33.38
586.34,3.429,-4.93,5.7,312,0,771,4545,37.75,33.34
585.05,3.429,-4.96,6.2,312,0,774,4562,37.59,33.36
583.79,3.428,-5.01,6.2,312,0,777,4579,37.49,33.31
582.64,3.424,-5.09,6.2,313,0,780,4595,37.43,33.29
581.25,3.416,-5.15,6.7,314,0,783,4614,37.36,33.32
579.54,3.403,-5.19,6.7,314,0,786,4637,37.26,33.26
577.99,3.387,-5.25,7.2,314,0,789,4658,37.11,33.27
576.50,3.370,-5.30,7.2,313,0,792,4678,36.93,33.29
574.96,3.357,-5.32,7.7,311,0,795,4699,36.70,33.29
573.54,3.348,-5.46,7.7,309,0,798,4718,36.46,33.26
572.16,3.343,-5.57,7.7,307,0,801,4737,36.24,33.27
571.04,3.340,-5.64,7.7,307,0,804,4753,36.04,33.26
569.89,3.334,-5.64,7.2,308,0,807,4768,35.94,33.22
568.77,3.324,-5.59,7.2,310,0,810,4784,35.93,33.22
567.49,3.306,-5.69,7.2,311,0,813,4802,36.01,33.20
566.14,3.285,-5.83,7.2,312,0,816,4820,36.17,33.20
565.04,3.260,-5.94,7.2,313,0,819,4835,36.40,33.22
563.85,3.234,-6.11,7.2,313,0,822,4852,36.64,33.19
562.73,3.207,-6.19,7.2,313,0,825,4868,36.86,33.20
561.34,3.180,-6.33,7.2,313,0,828,4887,37.04,33.15
559.89,3.151,-6.55,7.2,312,0,831,4907,37.18,33.19
558.60,3.124,-6.68,7.2,311,0,834,4925,37.25,33.18
557.55,3.099,-6.77,7.2,309,0,837,4940,37.27,33.15
556.38,3.078,-6.76,7.2,308,0,840,4956,37.26,33.15
555.35,3.057,-6.84,7.2,308,0,843,4971,37.22,33.15
554.13,3.038,-6.99,7.2,308,0,846,4988,37.15,33.14
552.73,3.017,-7.19,7.2,308,0,849,5008,37.03,33.13
551.65,2.996,-7.18,7.7,309,0,852,5023,36.82,33.15
550.62,2.974,-7.13,7.7,309,0,855,5037,36.50,33.11
549.54,2.949,-7.31,8.2,310,0,858,5053,36.02,33.13
548.45,2.922,-7.30,8.2,311,0,861,5068,35.39,33.09
547.22,2.894,-7.30,8.2,313,0,864,5086,34.64,33.10
546.09,2.868,-7.22,8.2,316,0,867,5102,33.83,33.08
545.13,2.845,-7.30,8.2,317,0,870,5115,33.04,33.11
543.75,2.829,-7.45,8.7,317,0,873,5135,32.36,33.09
542.41,2.819,-7.51,9.3,316,0,876,5154,31.82,33.07
541.39,2.816,-7.66,9.8,315,0,879,5169,31.44,33.07
540.29,2.819,-7.82,10.3,313,0,882,5185,31.16,33.04
539.32,2.822,-7.86,10.3,313,0,885,5199,30.93,33.07
538.38,2.823,-7.98,10.3,314,0,888,5212,30.68,33.04
537.10,2.820,-8.18,10.3,316,0,891,5231,30.40,33.02
535.66,2.810,-8.28,10.3,317,0,894,5252,30.10,33.01
534.35,2.798,-8.40,10.3,318,0,897,5271,29.83,33.04
533.25,2.783,-8.51,10.3,318,0,900,5287,29.64,33.04
532.07,2.771,-8.57,10.3,316,0,903,5304,29.59,33.04
531.05,2.760,-8.78,10.3,314,0,906,5318,29.68,33.04
530.04,2.750,-8.97,10.3,313,0,909,5333,29.89,32.99
528.95,2.741,-9.06,10.3,312,0,912,5349,30.18,33.00
527.59,2.729,-9.19,10.3,312,0,915,5369,30.50,33.00
526.33,2.716,-9.34,10.3,311,0,918,5388,30.80,32.99
525.12,2.704,-9.52,10.3,311,0,921,5405,31.01,32.97
524.14,2.692,-9.64,10.3,310,0,924,5420,31.07,32.97
523.09,2.680,-9.78,9.8,310,0,927,5435,30.90,32.97
521.96,2.670,-9.94,9.8,310,0,930,5452,30.47,32.96
520.77,2.661,-10.06,9.3,310,0,933,5470,29.67,32.94
519.61,2.656,-10.19,8.7,309,0,936,5487,28.47,32.95
518.45,2.658,-10.32,8.2,308,0,939,5504,26.83,32.95
517.42,2.667,-10.33,8.2,307,0,942,5519,24.70,32.93
516.46,2.681,-10.44,7.7,306,0,945,5534,22.13,32.94
515.54,2.703,-10.50,7.7,306,0,948,5547,19.12,32.92
514.33,2.729,-10.51,8.2,306,0,951,5565,15.72,32.90
513.05,2.761,-10.57,8.7,306,0,954,5584,12.14,32.89
511.68,2.804,-10.59,9.3,307,0,957,5605,8.61,32.85
510.24,2.859,-10.52,9.8,308,0,960,5627,5.48,32.85
508.94,2.927,-10.16,10.3,309,0,963,5646,2.94,32.86
507.76,3.004,-10.19,10.8,311,0,966,5664,1.32,32.85
506.76,3.083,-10.16,11.3,312,0,969,5679,1.00,32.86
505.71,3.153,-10.02,11.3,314,0,972,5695,1.00,32.83
504.55,3.209,-10.06,11.3,316,0,975,5713,1.00,32.79
503.53,3.249,-10.03,11.3,317,0,978,5729,1.47,32.79
502.21,3.276,-10.16,10.8,318,0,981,5749,2.54,32.79
500.79,3.295,-10.23,10.8,319,0,984,5771,3.66,32.81
500.00,3.311,-10.29,11.3,320,1,987,5783,4.55,32.78
499.88,3.327,-10.31,11.3,320,0,987,5785,4.68,32.78
498.80,3.343,-10.44,11.3,321,0,990,5801,5.54,32.78
497.59,3.361,-10.59,11.8,322,0,993,5820,6.21,32.79
496.69,3.379,-10.76,12.3,323,0,996,5834,6.68,32.76
495.60,3.397,-10.87,12.3,323,0,999,5851,6.99,32.74
494.12,3.415,-11.09,12.9,322,0,1002,5874,7.16,32.72
492.71,3.431,-11.21,12.9,321,0,1005,5896,7.24,32.72
491.53,3.445,-11.32,13.4,320,0,1008,5914,7.29,32.72
490.48,3.460,-11.44,13.9,318,0,1011,5930,7.39,32.72
489.53,3.475,-11.44,13.9,317,0,1014,5945,7.61,32.69
488.44,3.492,-11.60,14.4,316,0,1017,5962,8.07,32.68
487.06,3.509,-11.65,14.9,316,0,1020,5984,8.83,32.70
485.74,3.529,-11.85,14.9,315,0,1023,6005,9.96,32.65
484.46,3.546,-11.95,14.9,315,0,1026,6025,11.35,32.65
483.56,3.560,-12.03,14.9,314,0,1029,6039,12.97,32.65
482.59,3.566,-12.14,14.9,314,0,1032,6055,14.64,32.67
481.42,3.559,-12.34,14.9,313,0,1035,6073,16.18,32.59
480.36,3.537,-12.46,14.9,313,0,1038,6090,17.46,32.64
479.29,3.502,-12.57,14.4,313,0,1041,6107,18.39,32.61
478.35,3.456,-12.69,14.4,312,0,1044,6122,18.92,32.60
477.43,3.401,-12.88,13.9,312,0,1047,6137,19.07,32.56
476.37,3.345,-13.00,13.9,312,0,1050,6153,18.93,32.57
475.24,3.293,-13.22,13.9,313,0,1053,6172,18.60,32.56
474.26,3.247,-13.36,13.9,314,0,1056,6187,18.17,32.58
473.15,3.211,-13.57,13.9,314,0,1059,6205,17.72,32.56
471.78,3.185,-13.75,13.9,315,0,1062,6227,17.32,32.52
470.78,3.167,-13.78,14.4,315,0,1065,6243,17.05,32.50
469.88,3.156,-13.86,14.9,313,0,1068,6258,16.92,32.54
468.93,3.151,-13.89,14.9,311,0,1071,6273,16.93,32.54
467.77,3.150,-13.84,15.4,308,0,1074,6292,17.10,32.53
466.51,3.152,-13.97,15.4,306,0,1077,6312,17.41,32.49
465.46,3.158,-14.12,15.9,304,0,1080,6330,17.84,32.54
464.38,3.166,-14.20,15.9,303,0,1083,6347,18.32,32.53
463.19,3.173,-14.26,15.9,301,0,1086,6367,18.82,32.51
461.82,3.173,-14.39,15.9,300,0,1089,6389,19.30,32.47
460.58,3.167,-14.56,15.9,300,0,1092,6409,19.71,32.45
459.19,3.155,-14.79,15.4,299,0,1095,6432,20.00,32.44
458.04,3.136,-14.89,15.4,298,0,1098,6451,20.21,32.45
456.97,3.115,-15.02,15.4,298,0,1101,6469,20.34,32.44
455.91,3.090,-15.25,14.9,298,0,1104,6486,20.45,32.45
454.69,3.066,-15.43,14.9,299,0,1107,6507,20.58,32.40
